architecture,train_nx,train_ny,eval_nx,eval_ny,metric,paired_sample_seed_averaged_mean,bootstrap_ci95_low,bootstrap_ci95_high,conditioning_sample_count,bootstrap_replicates,bootstrap_seed,method,record_type,architecture_first,architecture_second,difference_definition,paired_mean_difference,n_test_samples,energy_valid_sample_fraction_seed_mean,fraction_samples_with_any_nonpositive_j_seed_mean,strain_energy_density_rel_finite_seed_count
corrected_fno,128,32,64,16,vector_h1_seminorm_rel,0.38749638654,0.386455663884,0.388691211073,75.0,10000.0,20260801.0,resample paired sample identities after averaging the three seeds,within_architecture_bootstrap,,,,,,,,
corrected_fno,128,32,64,16,deformation_gradient_rel,0.0984603593064,0.0972209462654,0.0997637384108,75.0,10000.0,20260801.0,resample paired sample identities after averaging the three seeds,within_architecture_bootstrap,,,,,,,,
corrected_fno,128,32,64,16,strain_energy_density_rel,49.8938562268,49.5777730739,50.2376443297,75.0,10000.0,20260801.0,resample paired sample identities after averaging the three seeds,within_architecture_bootstrap,,,,,,,,
corrected_fno,128,32,64,16,sampled_total_potential_rel,18.9668610898,18.8625155643,19.0868535353,75.0,10000.0,20260801.0,resample paired sample identities after averaging the three seeds,within_architecture_bootstrap,,,,,,,,
corrected_fno,128,32,64,16,min_det_f,0.575138363328,0.572781943711,0.577610034476,75.0,10000.0,20260801.0,resample paired sample identities after averaging the three seeds,within_architecture_bootstrap,,,,,,,,
corrected_fno,128,32,64,16,nonpositive_j_fraction,0.0,0.0,0.0,75.0,10000.0,20260801.0,resample paired sample identities after averaging the three seeds,within_architecture_bootstrap,,,,,,,,
corrected_fno,128,32,128,32,joint_rel_l2,0.00258154309,0.00248749652982,0.00270316660753,75.0,10000.0,20260801.0,resample paired sample identities after averaging the three seeds,within_architecture_bootstrap,,,,,,,,
corrected_fno,128,32,128,32,ux_rel_l2,0.00556519497335,0.00541648373352,0.00574949350424,75.0,10000.0,20260801.0,resample paired sample identities after averaging the three seeds,within_architecture_bootstrap,,,,,,,,
corrected_fno,128,32,128,32,uy_rel_l2,0.00238124466182,0.00228763713291,0.00249979464389,75.0,10000.0,20260801.0,resample paired sample identities after averaging the three seeds,within_architecture_bootstrap,,,,,,,,
corrected_fno,128,32,128,32,vector_h1_seminorm_rel,0.135320478375,0.13093412289,0.14068811288,75.0,10000.0,20260801.0,resample paired sample identities after averaging the three seeds,within_architecture_bootstrap,,,,,,,,
corrected_fno,128,32,128,32,deformation_gradient_rel,0.03435846385,0.0332073102588,0.0357050626775,75.0,10000.0,20260801.0,resample paired sample identities after averaging the three seeds,within_architecture_bootstrap,,,,,,,,
corrected_fno,128,32,128,32,strain_energy_density_rel,2.40679373674,2.22598231598,2.67066381469,75.0,10000.0,20260801.0,resample paired sample identities after averaging the three seeds,within_architecture_bootstrap,,,,,,,,
corrected_fno,128,32,128,32,sampled_total_potential_rel,1.7866946264,1.63948164312,1.98561168307,75.0,10000.0,20260801.0,resample paired sample identities after averaging the three seeds,within_architecture_bootstrap,,,,,,,,
corrected_fno,128,32,128,32,min_det_f,0.839889894706,0.834482632671,0.844481277068,75.0,10000.0,20260801.0,resample paired sample identities after averaging the three seeds,within_architecture_bootstrap,,,,,,,,
corrected_fno,128,32,128,32,nonpositive_j_fraction,0.0,0.0,0.0,75.0,10000.0,20260801.0,resample paired sample identities after averaging the three seeds,within_architecture_bootstrap,,,,,,,,
corrected_fno,128,32,200,50,joint_rel_l2,0.0134544978111,0.0134037155453,0.0135144195688,75.0,10000.0,20260801.0,resample paired sample identities after averaging the three seeds,within_architecture_bootstrap,,,,,,,,
corrected_fno,128,32,200,50,ux_rel_l2,0.0466673181735,0.0463721338048,0.0469955894045,75.0,10000.0,20260801.0,resample paired sample identities after averaging the three seeds,within_architecture_bootstrap,,,,,,,,
corrected_fno,128,32,200,50,uy_rel_l2,0.0100826846558,0.0100264532316,0.0101464139935,75.0,10000.0,20260801.0,resample paired sample identities after averaging the three seeds,within_architecture_bootstrap,,,,,,,,
corrected_fno,128,32,200,50,vector_h1_seminorm_rel,1.42321967468,1.41971449823,1.42713713146,75.0,10000.0,20260801.0,resample paired sample identities after averaging the three seeds,within_architecture_bootstrap,,,,,,,,
corrected_fno,128,32,200,50,deformation_gradient_rel,0.361861202268,0.356607249836,0.367514422648,75.0,10000.0,20260801.0,resample paired sample identities after averaging the three seeds,within_architecture_bootstrap,,,,,,,,
corrected_fno,128,32,200,50,strain_energy_density_rel,,,,0.0,10000.0,20260801.0,resample paired sample identities after averaging the three seeds,within_architecture_bootstrap,,,,,,,,
corrected_fno,128,32,200,50,sampled_total_potential_rel,,,,0.0,10000.0,20260801.0,resample paired sample identities after averaging the three seeds,within_architecture_bootstrap,,,,,,,,
corrected_fno,128,32,200,50,min_det_f,-3.5614640724,-3.60365034147,-3.52018822588,75.0,10000.0,20260801.0,resample paired sample identities after averaging the three seeds,within_architecture_bootstrap,,,,,,,,
corrected_fno,128,32,200,50,nonpositive_j_fraction,0.0125033329915,0.0122512676762,0.0127658701672,75.0,10000.0,20260801.0,resample paired sample identities after averaging the three seeds,within_architecture_bootstrap,,,,,,,,
