architecture,training_resolution,evaluation_resolution,seed,protocol,k_norm,target_normalized_residual_energy_mean,target_normalized_residual_energy_std,target_normalized_residual_energy_se,n_test_samples,record_type,band,k_norm_left,k_norm_right,target_normalized_residual_energy,curve_total_target_normalized_residual_energy,fraction_of_residual_profile_total,n_bins_total,denominator
Corrected standard FNO,32,256,1,fixed-val128,0.604166666667,3.84079682909e-07,,,1000,radial_profile_bin,,,,,,,,
Corrected standard FNO,32,256,1,fixed-val128,0.618055555556,2.22739929087e-07,,,1000,radial_profile_bin,,,,,,,,
Corrected standard FNO,32,256,1,fixed-val128,0.631944444444,3.82935171805e-07,,,1000,radial_profile_bin,,,,,,,,
Corrected standard FNO,32,256,1,fixed-val128,0.645833333333,3.80734596068e-07,,,1000,radial_profile_bin,,,,,,,,
Corrected standard FNO,32,256,1,fixed-val128,0.659722222222,3.75570774799e-07,,,1000,radial_profile_bin,,,,,,,,
Corrected standard FNO,32,256,1,fixed-val128,0.673611111111,3.70799175281e-07,,,1000,radial_profile_bin,,,,,,,,
Corrected standard FNO,32,256,1,fixed-val128,0.6875,2.09750775456e-07,,,1000,radial_profile_bin,,,,,,,,
Corrected standard FNO,32,256,1,fixed-val128,0.701388888889,3.67345974346e-07,,,1000,radial_profile_bin,,,,,,,,
Corrected standard FNO,32,256,1,fixed-val128,0.715277777778,3.65812684907e-07,,,1000,radial_profile_bin,,,,,,,,
Corrected standard FNO,32,256,1,fixed-val128,0.729166666667,3.6098704501e-07,,,1000,radial_profile_bin,,,,,,,,
Corrected standard FNO,32,256,1,fixed-val128,0.743055555556,1.96044493609e-07,,,1000,radial_profile_bin,,,,,,,,
Corrected standard FNO,32,256,1,fixed-val128,0.756944444444,3.60155998405e-07,,,1000,radial_profile_bin,,,,,,,,
Corrected standard FNO,32,256,1,fixed-val128,0.770833333333,3.55884590194e-07,,,1000,radial_profile_bin,,,,,,,,
Corrected standard FNO,32,256,1,fixed-val128,0.784722222222,3.53020899306e-07,,,1000,radial_profile_bin,,,,,,,,
Corrected standard FNO,32,256,1,fixed-val128,0.798611111111,3.47407687089e-07,,,1000,radial_profile_bin,,,,,,,,
Corrected standard FNO,32,256,1,fixed-val128,0.8125,1.91037213133e-07,,,1000,radial_profile_bin,,,,,,,,
Corrected standard FNO,32,256,1,fixed-val128,0.826388888889,3.49643655144e-07,,,1000,radial_profile_bin,,,,,,,,
Corrected standard FNO,32,256,1,fixed-val128,0.840277777778,3.51501236058e-07,,,1000,radial_profile_bin,,,,,,,,
Corrected standard FNO,32,256,1,fixed-val128,0.854166666667,3.61429418314e-07,,,1000,radial_profile_bin,,,,,,,,
Corrected standard FNO,32,256,1,fixed-val128,0.868055555556,2.04308192327e-07,,,1000,radial_profile_bin,,,,,,,,
Corrected standard FNO,32,256,1,fixed-val128,0.881944444444,3.75235004807e-07,,,1000,radial_profile_bin,,,,,,,,
Corrected standard FNO,32,256,1,fixed-val128,0.895833333333,3.87830556734e-07,,,1000,radial_profile_bin,,,,,,,,
Corrected standard FNO,32,256,1,fixed-val128,0.909722222222,5.03152183129e-07,,,1000,radial_profile_bin,,,,,,,,
Corrected standard FNO,32,256,1,fixed-val128,0.923611111111,7.2247881643e-07,,,1000,radial_profile_bin,,,,,,,,
Corrected standard FNO,32,256,1,fixed-val128,0.9375,6.87998077842e-07,,,1000,radial_profile_bin,,,,,,,,
Corrected standard FNO,32,256,1,fixed-val128,0.951388888889,8.52052251555e-07,,,1000,radial_profile_bin,,,,,,,,
Corrected standard FNO,32,256,1,fixed-val128,0.965277777778,1.06123809563e-06,,,1000,radial_profile_bin,,,,,,,,
Corrected standard FNO,32,256,1,fixed-val128,0.979166666667,1.63399097748e-06,,,1000,radial_profile_bin,,,,,,,,
Corrected standard FNO,32,256,1,fixed-val128,0.993055555556,5.19740288276e-06,,,1000,radial_profile_bin,,,,,,,,
Corrected standard FNO,64,256,1,fixed-val128,0.00694444444444,0.00379785158137,,,1000,radial_profile_bin,,,,,,,,
Corrected standard FNO,64,256,1,fixed-val128,0.0208333333333,0.000698727981112,,,1000,radial_profile_bin,,,,,,,,
Corrected standard FNO,64,256,1,fixed-val128,0.0347222222222,0.000195096881299,,,1000,radial_profile_bin,,,,,,,,
Corrected standard FNO,64,256,1,fixed-val128,0.0486111111111,8.78818646363e-05,,,1000,radial_profile_bin,,,,,,,,
Corrected standard FNO,64,256,1,fixed-val128,0.0625,4.61758355885e-05,,,1000,radial_profile_bin,,,,,,,,
Corrected standard FNO,64,256,1,fixed-val128,0.0763888888889,5.15207182489e-05,,,1000,radial_profile_bin,,,,,,,,
Corrected standard FNO,64,256,1,fixed-val128,0.0902777777778,3.44349532472e-05,,,1000,radial_profile_bin,,,,,,,,
Corrected standard FNO,64,256,1,fixed-val128,0.104166666667,2.68266759661e-05,,,1000,radial_profile_bin,,,,,,,,
Corrected standard FNO,64,256,1,fixed-val128,0.118055555556,1.76712497212e-05,,,1000,radial_profile_bin,,,,,,,,
Corrected standard FNO,64,256,1,fixed-val128,0.131944444444,1.79042550497e-05,,,1000,radial_profile_bin,,,,,,,,
Corrected standard FNO,64,256,1,fixed-val128,0.145833333333,1.32960206502e-05,,,1000,radial_profile_bin,,,,,,,,
Corrected standard FNO,64,256,1,fixed-val128,0.159722222222,1.05759197223e-05,,,1000,radial_profile_bin,,,,,,,,
Corrected standard FNO,64,256,1,fixed-val128,0.173611111111,8.08421028494e-06,,,1000,radial_profile_bin,,,,,,,,
Corrected standard FNO,64,256,1,fixed-val128,0.1875,4.69297929345e-06,,,1000,radial_profile_bin,,,,,,,,
Corrected standard FNO,64,256,1,fixed-val128,0.201388888889,6.15642925227e-06,,,1000,radial_profile_bin,,,,,,,,
Corrected standard FNO,64,256,1,fixed-val128,0.215277777778,5.55920404984e-06,,,1000,radial_profile_bin,,,,,,,,
Corrected standard FNO,64,256,1,fixed-val128,0.229166666667,5.29751558347e-06,,,1000,radial_profile_bin,,,,,,,,
Corrected standard FNO,64,256,1,fixed-val128,0.243055555556,3.02810303051e-06,,,1000,radial_profile_bin,,,,,,,,
Corrected standard FNO,64,256,1,fixed-val128,0.256944444444,4.65259518868e-06,,,1000,radial_profile_bin,,,,,,,,
Corrected standard FNO,64,256,1,fixed-val128,0.270833333333,3.81705322872e-06,,,1000,radial_profile_bin,,,,,,,,
Corrected standard FNO,64,256,1,fixed-val128,0.284722222222,2.85806832896e-06,,,1000,radial_profile_bin,,,,,,,,
Corrected standard FNO,64,256,1,fixed-val128,0.298611111111,2.17768410658e-06,,,1000,radial_profile_bin,,,,,,,,
Corrected standard FNO,64,256,1,fixed-val128,0.3125,1.04987083134e-06,,,1000,radial_profile_bin,,,,,,,,
Corrected standard FNO,64,256,1,fixed-val128,0.326388888889,1.48261785196e-06,,,1000,radial_profile_bin,,,,,,,,
Corrected standard FNO,64,256,1,fixed-val128,0.340277777778,1.18962048585e-06,,,1000,radial_profile_bin,,,,,,,,
Corrected standard FNO,64,256,1,fixed-val128,0.354166666667,9.78388723767e-07,,,1000,radial_profile_bin,,,,,,,,
Corrected standard FNO,64,256,1,fixed-val128,0.368055555556,4.89393544187e-07,,,1000,radial_profile_bin,,,,,,,,
Corrected standard FNO,64,256,1,fixed-val128,0.381944444444,7.55536615722e-07,,,1000,radial_profile_bin,,,,,,,,
Corrected standard FNO,64,256,1,fixed-val128,0.395833333333,6.30812141824e-07,,,1000,radial_profile_bin,,,,,,,,
Corrected standard FNO,64,256,1,fixed-val128,0.409722222222,5.34604896981e-07,,,1000,radial_profile_bin,,,,,,,,
Corrected standard FNO,64,256,1,fixed-val128,0.423611111111,4.65674748944e-07,,,1000,radial_profile_bin,,,,,,,,
Corrected standard FNO,64,256,1,fixed-val128,0.4375,2.59577987209e-07,,,1000,radial_profile_bin,,,,,,,,
Corrected standard FNO,64,256,1,fixed-val128,0.451388888889,4.03193450129e-07,,,1000,radial_profile_bin,,,,,,,,
Corrected standard FNO,64,256,1,fixed-val128,0.465277777778,3.82501318131e-07,,,1000,radial_profile_bin,,,,,,,,
Corrected standard FNO,64,256,1,fixed-val128,0.479166666667,3.59616212522e-07,,,1000,radial_profile_bin,,,,,,,,
Corrected standard FNO,64,256,1,fixed-val128,0.493055555556,2.04854341898e-07,,,1000,radial_profile_bin,,,,,,,,
Corrected standard FNO,64,256,1,fixed-val128,0.506944444444,3.48614960831e-07,,,1000,radial_profile_bin,,,,,,,,
Corrected standard FNO,64,256,1,fixed-val128,0.520833333333,3.43288281979e-07,,,1000,radial_profile_bin,,,,,,,,
Corrected standard FNO,64,256,1,fixed-val128,0.534722222222,3.37736042762e-07,,,1000,radial_profile_bin,,,,,,,,
Corrected standard FNO,64,256,1,fixed-val128,0.548611111111,3.33220028874e-07,,,1000,radial_profile_bin,,,,,,,,
Corrected standard FNO,64,256,1,fixed-val128,0.5625,1.91973403769e-07,,,1000,radial_profile_bin,,,,,,,,
Corrected standard FNO,64,256,1,fixed-val128,0.576388888889,3.34154654747e-07,,,1000,radial_profile_bin,,,,,,,,
Corrected standard FNO,64,256,1,fixed-val128,0.590277777778,3.34003579988e-07,,,1000,radial_profile_bin,,,,,,,,
Corrected standard FNO,64,256,1,fixed-val128,0.604166666667,3.31703922224e-07,,,1000,radial_profile_bin,,,,,,,,
Corrected standard FNO,64,256,1,fixed-val128,0.618055555556,1.83234583945e-07,,,1000,radial_profile_bin,,,,,,,,
Corrected standard FNO,64,256,1,fixed-val128,0.631944444444,3.34643444998e-07,,,1000,radial_profile_bin,,,,,,,,
Corrected standard FNO,64,256,1,fixed-val128,0.645833333333,3.34299849183e-07,,,1000,radial_profile_bin,,,,,,,,
Corrected standard FNO,64,256,1,fixed-val128,0.659722222222,3.32635347979e-07,,,1000,radial_profile_bin,,,,,,,,
Corrected standard FNO,64,256,1,fixed-val128,0.673611111111,3.30228423485e-07,,,1000,radial_profile_bin,,,,,,,,
Corrected standard FNO,64,256,1,fixed-val128,0.6875,1.79954508257e-07,,,1000,radial_profile_bin,,,,,,,,
Corrected standard FNO,64,256,1,fixed-val128,0.701388888889,3.30300227404e-07,,,1000,radial_profile_bin,,,,,,,,
Corrected standard FNO,64,256,1,fixed-val128,0.715277777778,3.29927421876e-07,,,1000,radial_profile_bin,,,,,,,,
Corrected standard FNO,64,256,1,fixed-val128,0.729166666667,3.27369869326e-07,,,1000,radial_profile_bin,,,,,,,,
Corrected standard FNO,64,256,1,fixed-val128,0.743055555556,1.73708526909e-07,,,1000,radial_profile_bin,,,,,,,,
Corrected standard FNO,64,256,1,fixed-val128,0.756944444444,3.29059652467e-07,,,1000,radial_profile_bin,,,,,,,,
Corrected standard FNO,64,256,1,fixed-val128,0.770833333333,3.27383700091e-07,,,1000,radial_profile_bin,,,,,,,,
Corrected standard FNO,64,256,1,fixed-val128,0.784722222222,3.2696056651e-07,,,1000,radial_profile_bin,,,,,,,,
Corrected standard FNO,64,256,1,fixed-val128,0.798611111111,3.25181013034e-07,,,1000,radial_profile_bin,,,,,,,,
Corrected standard FNO,64,256,1,fixed-val128,0.8125,1.79298088576e-07,,,1000,radial_profile_bin,,,,,,,,
